clicked_items,customer_id,customer_name,number_of_line_items,order_datetime,order_number,ordered_products,promo_info
"[[""AVpfPEx61cnluZ0-gyT9"",""34""],[""AVpfuJ4pilAPnD_xhDyM"",""98""],[""AVpe6jFBilAPnD_xQxO2"",""60""],[""AVpfIODe1cnluZ0-eg35"",""49""]]",19476252,"otbda , outside the box digital agency ,",3,01-08-2019 02:47,317568014,"{""id"":""AVpfIODe1cnluZ0-eg35"",""qty"":2,""curr"":""USD"",""name"":""Cyber-shot DSC-WX220 Digital Camera (Black)"",""unit"":""pcs"",""price"":448}",[]
"[[""AVpfdBS41cnluZ0-lBIj"",""88""]]",4401099,denevi digital imaging,1,01-08-2019 03:27,317568015,"{""id"":""AVpfdBS41cnluZ0-lBIj"",""qty"":4,""curr"":""USD"",""name"":""Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121)"",""unit"":""pcs"",""price"":293}",[]
"[[""AVpgIu4Q1cnluZ0-xBK-"",""13""],[""AVpfeG5oilAPnD_xcTsG"",""27""],[""AVqVGaEBv8e3D1O-ldFu"",""64""],[""AVpg-Wj61cnluZ0-8sZe"",""87""],[""AVphTO5W1cnluZ0-Aygg"",""52""],[""AVpfMVD-ilAPnD_xW6bu"",""49""]]",14939501,rpm optoelectronics,2,01-08-2019 04:07,317568016,"{""id"":""AVpfMVD-ilAPnD_xW6bu"",""qty"":2,""curr"":""USD"",""name"":""Rony - BC-TRX Battery Charger - Black"",""unit"":""pcs"",""price"":31,""promotion_info"":{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}}","[{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpfWxx7LJeJML437u-H"",""52""],[""AVpfvr461cnluZ0-qgHR"",""54""],[""AVpiMIyE1cnluZ0-K0TA"",""14""],[""AVz5wc0H-jtxr-f30F6_"",""84""],[""AVpe7vER1cnluZ0-aJu7"",""65""]]",3072597,"non typical, inc.",3,01-08-2019 05:01,317568017,"{""id"":""AVpe7vER1cnluZ0-aJu7"",""qty"":3,""curr"":""USD"",""name"":""Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows"",""unit"":""pcs"",""price"":618}",[]
"[[""AVpfCQslilAPnD_xThwe"",""80""],[""AVpiMIyE1cnluZ0-K0TA"",""50""]]",2732808,als deli,2,01-08-2019 05:03,317568018,"{""id"":""AVpiMIyE1cnluZ0-K0TA"",""qty"":2,""curr"":""USD"",""name"":""Elpine - Rear View Camera - Black"",""unit"":""pcs"",""price"":149}",[]
"[[""AVpfDLA0ilAPnD_xT0sq"",""21""],[""AVwjdOdov8e3D1O-nnK9"",""85""],[""AVpfMVD-ilAPnD_xW6bu"",""75""]]",3838589,"MORENO,  SALVADOR C",2,01-08-2019 05:31,317568019,"{""id"":""AVpiJoY0LJeJML43iz5-"",""qty"":1,""curr"":""USD"",""name"":""SRS-XB2 Portable Bluetooth Wireless Speaker (Red)"",""unit"":""pcs"",""price"":63}","[{""promo_id"":0,""promo_qty"":3,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpe9oDr1cnluZ0-a1wt"",""34""],[""AVpe7vER1cnluZ0-aJu7"",""74""],[""AVpfMVD-ilAPnD_xW6bu"",""48""]]",7159905,"TURNER ALSTON,  DENISE",2,01-08-2019 05:36,317568020,"{""id"":""AVpfMVD-ilAPnD_xW6bu"",""qty"":2,""curr"":""USD"",""name"":""Rony - BC-TRX Battery Charger - Black"",""unit"":""pcs"",""price"":27,""promotion_info"":{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}}","[{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVphzZkJ1cnluZ0-Gkcq"",""28""],[""AVpe48Es1cnluZ0-ZHZU"",""46""],[""AVpge6k2LJeJML43OhAl"",""16""],[""AVpfCW42ilAPnD_xTj0y"",""70""]]",13728809,"BOYLAN,  HENRI M",2,01-08-2019 07:20,317568021,"{""id"":""AVpfCW42ilAPnD_xTj0y"",""qty"":3,""curr"":""USD"",""name"":""CD-C600 5-Disc CD Changer"",""unit"":""pcs"",""price"":102}",[]
"[[""AVpfMVD-ilAPnD_xW6bu"",""36""],[""AVpjedgc1cnluZ0-W4NI"",""64""]]",8513182,guardian sprinklers inc,2,01-08-2019 07:33,317568022,"{""id"":""AVpjedgc1cnluZ0-W4NI"",""qty"":3,""curr"":""USD"",""name"":""Rony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready"",""unit"":""pcs"",""price"":239}","[{""promo_id"":0,""promo_qty"":7,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpfPEx61cnluZ0-gyT8"",""35""],[""AVpfuJ4pilAPnD_xhDyN"",""99""],[""AVpe6jFBilAPnD_xQxO3"",""61""],[""AVpfIODe1cnluZ0-eg35"",""50""]]",19476263,otbda outside the box digital agency4,5,01-08-2019 21:28,317568023,"{""id"":""AVpfuJ4pilAPnD_xhDyN"",""qty"":4,""curr"":""USD"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC1"",""unit"":""pcs"",""price"":994}","[{""promo_id"":0,""promo_qty"":3,""promo_disc"":0.04,""promo_item"":""AVpfMVD-ilAPnD_xW6bv""}]"
